Crypto, CTO
Mercury Protocol, Mercury Protocol
Hedge, HDG
Synergy, SNRG
Equal, EQL
Money, None
Version, None
Melon, Melon
KEY, None
REAL, None
Macro, MCR
Bubble, None
Status, SNT
Impact, IMX
Revian, Revain
Data, DTA
Change, CAG
DATA, DTA
PR, prototanium
Burst, BURST
Verify, CRED
ZERO, ZER
Show, SHOW
